tau1,tau2,tau3,tau4,tau5,tau6,tau7
8.417162,12.839775,6.223099,0.553613,-0.084576,0.206316,-0.340637
8.372445,12.851916,6.211309,0.547528,-0.084226,0.206332,-0.340511
8.327614,12.864149,6.199464,0.541539,-0.083875,0.206348,-0.340385
8.282670,12.876475,6.187566,0.535645,-0.083524,0.206367,-0.340260
8.237612,12.888892,6.175614,0.529846,-0.083172,0.206386,-0.340136
8.192441,12.901400,6.163610,0.524143,-0.082819,0.206407,-0.340012
8.147158,12.913998,6.151553,0.518537,-0.082466,0.206429,-0.339889
8.101762,12.926686,6.139443,0.513028,-0.082112,0.206453,-0.339766
8.056255,12.939462,6.127282,0.507615,-0.081757,0.206478,-0.339643
8.010636,12.952326,6.115069,0.502300,-0.081401,0.206504,-0.339522
7.964905,12.965277,6.102805,0.497083,-0.081045,0.206532,-0.339401
7.919064,12.978314,6.090490,0.491963,-0.080688,0.206561,-0.339280
7.873112,12.991437,6.078125,0.486942,-0.080330,0.206591,-0.339160
7.827050,13.004644,6.065710,0.482020,-0.079972,0.206623,-0.339041
7.780877,13.017935,6.053245,0.477196,-0.079613,0.206656,-0.338922
7.734595,13.031309,6.040732,0.472472,-0.079253,0.206690,-0.338804
7.688204,13.044764,6.028169,0.467848,-0.078892,0.206726,-0.338686
7.641704,13.058301,6.015558,0.463323,-0.078531,0.206762,-0.338569
7.595095,13.071919,6.002899,0.458899,-0.078169,0.206800,-0.338453
7.548378,13.085616,5.990192,0.454575,-0.077806,0.206840,-0.338337
7.501553,13.099392,5.977438,0.450352,-0.077443,0.206880,-0.338222
7.454621,13.113245,5.964637,0.446230,-0.077078,0.206922,-0.338107
7.407581,13.127176,5.951789,0.442210,-0.076713,0.206965,-0.337993
7.360434,13.141183,5.938896,0.438291,-0.076348,0.207009,-0.337880
7.313181,13.155264,5.925956,0.434474,-0.075981,0.207055,-0.337767
7.265822,13.169421,5.912971,0.430760,-0.075614,0.207101,-0.337655
7.218357,13.183650,5.899941,0.427148,-0.075246,0.207149,-0.337543
7.170787,13.197952,5.886867,0.423638,-0.074877,0.207198,-0.337432
7.123111,13.212326,5.873748,0.420232,-0.074507,0.207248,-0.337322
7.075331,13.226771,5.860586,0.416930,-0.074137,0.207300,-0.337212
7.027447,13.241285,5.847380,0.413730,-0.073766,0.207352,-0.337103
6.979459,13.255868,5.834131,0.410635,-0.073394,0.207406,-0.336995
6.931367,13.270519,5.820839,0.407644,-0.073021,0.207461,-0.336887
6.883172,13.285237,5.807506,0.404757,-0.072648,0.207516,-0.336779
6.834875,13.300021,5.794130,0.401974,-0.072274,0.207573,-0.336673
6.786475,13.314871,5.780712,0.399297,-0.071899,0.207632,-0.336566
6.737973,13.329784,5.767254,0.396724,-0.071523,0.207691,-0.336461
6.689369,13.344761,5.753755,0.394257,-0.071146,0.207751,-0.336356
6.640665,13.359799,5.740215,0.391896,-0.070769,0.207812,-0.336252
