q0,q1,q2,q3,q4,q5,q6
-0.419434884,-0.206037304,-0.441966765,-1.724629961,0.185361210,0.494759859,-0.307489083
-0.420246349,-0.204475007,-0.442521343,-1.725561458,0.183775029,0.494259879,-0.307967503
-0.421058300,-0.202909205,-0.443078337,-1.726484346,0.182188305,0.493759112,-0.308447967
-0.421870724,-0.201339910,-0.443637746,-1.727398621,0.180601049,0.493257562,-0.308930473
-0.422683609,-0.199767130,-0.444199567,-1.728304278,0.179013276,0.492755232,-0.309415017
-0.423496943,-0.198190878,-0.444763797,-1.729201314,0.177424998,0.492252126,-0.309901596
-0.424310715,-0.196611163,-0.445330435,-1.730089724,0.175836229,0.491748247,-0.310390208
-0.425124913,-0.195027997,-0.445899477,-1.730969503,0.174246980,0.491243599,-0.310880849
-0.425939524,-0.193441390,-0.446470921,-1.731840649,0.172657266,0.490738185,-0.311373516
-0.426754537,-0.191851352,-0.447044766,-1.732703157,0.171067099,0.490232008,-0.311868206
-0.427569940,-0.190257896,-0.447621007,-1.733557024,0.169476491,0.489725072,-0.312364916
-0.428385720,-0.188661031,-0.448199643,-1.734402245,0.167885457,0.489217381,-0.312863642
-0.429201867,-0.187060769,-0.448780672,-1.735238818,0.166294009,0.488708937,-0.313364382
-0.430018368,-0.185457120,-0.449364090,-1.736066737,0.164702159,0.488199744,-0.313867133
-0.430835211,-0.183850096,-0.449949894,-1.736886001,0.163109921,0.487689805,-0.314371890
-0.431652383,-0.182239707,-0.450538084,-1.737696604,0.161517309,0.487179124,-0.314878651
